"gene_id","ImpulseDE2_padj","ImpulseDE2_response_type","ImpulseDE2_response_class","is_DE","Mfuzz_cluster","Mfuzz_membership","Mfuzz_highconf","Mfuzz_pattern","WGCNA_module","kME_own","is_hub","count_FOXO3","count_HSF1","count_NFE2L2","has_HSF1","has_FOXO3","has_NFE2L2","SwissProt_BlastHit","SwissProt_BlastEval","SwissProt_ProteinName","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"Pocillopora_acuta_HIv2___TS.g10153.t1",0.259745899635434,"Other",NA,FALSE,NA,NA,NA,NA,"ME2",0.59269047630524,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g28292.t1a",0.955675530621064,"Other",NA,FALSE,NA,NA,NA,NA,"ME2",0.351297306314308,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g28295.t1",0.042039889458144,"Other","unclassified",TRUE,2,0.545325183162925,TRUE,"Early Peak (3h)","ME1",0.631036537086254,FALSE,2,0,0,FALSE,TRUE,FALSE,"O60290",3.09e-14,"Zinc finger protein 862","regulation of DNA-templated transcription [GO:0006355]","GO:0005634; GO:0006355; GO:0008270; GO:0046983","nucleus [GO:0005634]","protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",0.335185783947051,"Other",NA,FALSE,NA,NA,NA,NA,"ME1",0.644434859144121,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g28301.t1",0.92073642034385,"Other",NA,FALSE,NA,NA,NA,NA,"ME9",0.638580103752125,FALSE,1,0,1,FALSE,TRUE,TRUE,"Q8I7P9",1.31e-25,"Retrovirus-related Pol polyprotein from transposon opus [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","DNA integration [GO:0015074]; DNA transposition [GO:0006313]; proteolysis [GO:0006508]","GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0006508; GO:0008233; GO:0015074; GO:0042575","DNA polymerase complex [GO:0042575]; nucleus [GO:0005634]","endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; peptidase activity [GO:0008233]; RNA-directed DNA polymerase activity [GO:0003964]"
"Pocillopora_acuta_HIv2___TS.g10172.t1",0.904726055198604,"Other",NA,FALSE,NA,NA,NA,NA,"ME17",0.639297786315229,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",0.155153182165939,"Other",NA,FALSE,NA,NA,NA,NA,"ME3",0.62365739367778,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q80WM5",3.4e-07,"Hyaluronan and proteoglycan link protein 3","cell adhesion [GO:0007155]","GO:0005540; GO:0005576; GO:0007155; GO:0031012","extracellular matrix [GO:0031012]; extracellular region [GO:0005576]","hyaluronic acid binding [GO:0005540]"
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",0.0678714686440461,"Other",NA,FALSE,NA,NA,NA,NA,"ME3",0.681546411873189,FALSE,0,0,0,FALSE,FALSE,FALSE,"P81282",5.9e-20,"Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)","cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; skeletal system development [GO:0001501]","GO:0001501; GO:0001750; GO:0005509; GO:0005540; GO:0005576; GO:0005615; GO:0007155; GO:0007417; GO:0030246; GO:0033165; GO:0045202; GO:0072534","extracellular region [GO:0005576]; extracellular space [GO:0005615]; interphotoreceptor matrix [GO:0033165]; perineuronal net [GO:0072534]; photoreceptor outer segment [GO:0001750]; synapse [GO:0045202]","calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; hyaluronic acid binding [GO:0005540]"
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",0.732224646188713,"Other",NA,FALSE,NA,NA,NA,NA,"ME3",0.510437763708061,FALSE,1,0,0,FALSE,TRUE,FALSE,"Q9GZV7",7.01e-17,"Hyaluronan and proteoglycan link protein 2 (Brain link protein 1)","cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; establishment of blood-nerve barrier [GO:0008065]; extracellular matrix assembly [GO:0085029]; skeletal system development [GO:0001501]","GO:0001501; GO:0005540; GO:0005615; GO:0007155; GO:0007417; GO:0008065; GO:0031012; GO:0033268; GO:0045202; GO:0072534; GO:0085029","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; node of Ranvier [GO:0033268]; perineuronal net [GO:0072534]; synapse [GO:0045202]","hyaluronic acid binding [GO:0005540]"
"Pocillopora_acuta_HIv2___TS.g10211.t1",0.391033243096455,"Other",NA,FALSE,NA,NA,NA,NA,"ME1",0.621471430990794,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q9GLP1",5.24e-15,"Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]","blood circulation [GO:0008015]; blood coagulation [GO:0007596]","GO:0005507; GO:0005576; GO:0007596; GO:0008015; GO:0031091","extracellular region [GO:0005576]; platelet alpha granule [GO:0031091]","copper ion binding [GO:0005507]"
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",0.949304459380561,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.0933191381474093,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27471.t1",0.783968920443966,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.382240512632494,FALSE,1,0,0,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27479.t1",0.731491730710247,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.569893737347566,TRUE,0,0,0,FALSE,FALSE,FALSE,"Q91175",5.53e-15,"Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (MAR1)","adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410]","GO:0004937; GO:0005886; GO:0007200; GO:0007204; GO:0007267; GO:0043410; GO:0071880","plasma membrane [GO:0005886]","alpha1-adrenergic receptor activity [GO:0004937]"
"Pocillopora_acuta_HIv2___TS.g10294.t1",0.663494226977828,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.0492427936079972,FALSE,1,0,0,FALSE,TRUE,FALSE,"P30836",3.49e-10,"L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (Lymphocyte antigen 22) (Ly-22) (Lymphocyte surface MEL-14 antigen) (CD antigen CD62L)","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cellular response to interleukin-8 [GO:0098759]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; heterotypic cell-cell adhesion [GO:0034113]; leukocyte tethering or rolling [GO:0050901]; negative regulation of leukocyte tethering or rolling [GO:1903237]; positive regulation of leukocyte adhesion to arterial endothelial cell [GO:1904999]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of neutrophil mediated cytotoxicity [GO:0070960]; positive regulation of vascular permeability [GO:0043117]; regulation of apoptotic process [GO:0042981]; response to ATP [GO:0033198]; response to cytokine [GO:0034097]; response to ethanol [GO:0045471]; response to hyperoxia [GO:0055093]; response to linoleic acid [GO:0070543]; response to oleic acid [GO:0034201]","GO:0002020; GO:0005509; GO:0005615; GO:0005886; GO:0007157; GO:0009897; GO:0009986; GO:0016339; GO:0033198; GO:0033691; GO:0034097; GO:0034113; GO:0034201; GO:0042981; GO:0043117; GO:0045471; GO:0050839; GO:0050901; GO:0051861; GO:0055093; GO:0070492; GO:0070543; GO:0070960; GO:0090023; GO:0098759; GO:1903237; GO:1904999","cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; glycolipid binding [GO:0051861]; oligosaccharide binding [GO:0070492]; protease binding [GO:0002020]; sialic acid binding [GO:0033691]"
"Pocillopora_acuta_HIv2___TS.g10396.t1",0.543921033765377,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.358128639654264,FALSE,0,0,0,FALSE,FALSE,FALSE,"P46023",1.23e-99,"G-protein coupled receptor GRL101","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; hormone-mediated signaling pathway [GO:0009755]","GO:0005886; GO:0007189; GO:0008528; GO:0009755","plasma membrane [GO:0005886]","G protein-coupled peptide receptor activity [GO:0008528]"
"Pocillopora_acuta_HIv2___RNAseq.g27689.t1",0.431274327553213,"Other",NA,FALSE,NA,NA,NA,NA,"ME4",0.534784472478915,FALSE,1,0,1,FALSE,TRUE,TRUE,"P80010",1.33e-57,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Plasmin light chain B]","blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; proteolysis [GO:0006508]; tissue remodeling [GO:0048771]","GO:0004175; GO:0004252; GO:0005102; GO:0005615; GO:0006508; GO:0007596; GO:0042730; GO:0048771","extracellular space [GO:0005615]","endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102]"
"Pocillopora_acuta_HIv2___RNAseq.g27771.t1",0.176701849790025,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.284752482565733,FALSE,0,1,0,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10623.t1",0.976417935116162,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",-0.140712243191605,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q8IV35",1.44e-89,"Cilia- and flagella-associated protein 337 (WD repeat-containing protein 49)","","GO:0005509; GO:0005929","cilium [GO:0005929]","calcium ion binding [GO:0005509]"
"Pocillopora_acuta_HIv2___RNAseq.g28017.t1",0.555199154328132,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.111305504864228,FALSE,0,1,0,TRUE,FALSE,FALSE,"Q09575",4.2e-11,"Uncharacterized protein K02A2.6","DNA integration [GO:0015074]","GO:0003676; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575","cytoplasm [GO:0005737]; DNA polymerase complex [GO:0042575]","enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g28123.t1",0.842355157520818,"Other",NA,FALSE,NA,NA,NA,NA,"ME1",0.259021505740814,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q09575",3.6e-74,"Uncharacterized protein K02A2.6","DNA integration [GO:0015074]","GO:0003676; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575","cytoplasm [GO:0005737]; DNA polymerase complex [GO:0042575]","enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]"
