Pocillopora_acuta_HIv2___RNAseq.g24143.t1a	sp	Q4JAI4	METE_SULAC	31.494	308	183	9	215	520	35	316	1.03e-37	144
Pocillopora_acuta_HIv2___RNAseq.g18333.t1	sp	O08807	PRDX4_MOUSE	79.897	194	39	0	7	200	79	272	9.65e-116	333
Pocillopora_acuta_HIv2___RNAseq.g7985.t1	sp	O74212	D5FAD_MORAP	50.572	437	211	3	5	439	7	440	3.58e-158	457
Pocillopora_acuta_HIv2___TS.g15308.t1	sp	Q09575	YRD6_CAEEL	29.327	208	130	6	6	203	889	1089	1.09e-12	72.0
Pocillopora_acuta_HIv2___RNAseq.g2057.t1	sp	P0C1P0	PIGY_MOUSE	42.623	61	35	0	27	87	11	71	8.84e-14	63.2
Pocillopora_acuta_HIv2___RNAseq.g4696.t1	sp	Q9W2Q5	CIB2_DROME	51.852	189	90	1	1	188	1	189	9.01e-69	210
Pocillopora_acuta_HIv2___RNAseq.g12425.t1	sp	P12370	KAPC1_DROME	82.720	353	57	1	1	349	1	353	0.0	612
Pocillopora_acuta_HIv2___RNAseq.g31282.t1	sp	B8VIU6	USOM5_ACRMI	50.575	87	41	2	132	218	83	167	7.78e-21	91.7
Pocillopora_acuta_HIv2___RNAseq.g31093.t1	sp	B0FYY4	ITB1_SHEEP	37.995	808	418	28	66	834	34	797	5.63e-169	512
Pocillopora_acuta_HIv2___TS.g13125.t1	sp	Q9GZV8	PRD14_HUMAN	51.759	398	164	5	13	406	195	568	3.12e-137	409
Pocillopora_acuta_HIv2___RNAseq.g21450.t1	sp	Q96RW7	HMCN1_HUMAN	52.459	61	29	0	133	193	4698	4758	3.97e-16	84.7
Pocillopora_acuta_HIv2___RNAseq.g434.t1	sp	P58421	FZD5_XENLA	59.804	510	192	5	21	528	26	524	0.0	640
Pocillopora_acuta_HIv2___RNAseq.g15081.t1	sp	Q9ZRW8	GSTUJ_ARATH	36.444	225	125	6	9	232	7	214	2.09e-32	120
Pocillopora_acuta_HIv2___RNAseq.g22042.t1	sp	P49256	LMAN2_CANLF	49.839	311	140	10	27	328	53	356	4.96e-96	291
Pocillopora_acuta_HIv2___RNAseq.g16619.t1	sp	O95140	MFN2_HUMAN	57.143	42	17	1	14	55	306	346	2.05e-08	51.2
Pocillopora_acuta_HIv2___RNAseq.g22789.t1	sp	Q9Y5X5	NPFF2_HUMAN	26.349	315	195	9	32	317	156	462	7.46e-21	96.3
Pocillopora_acuta_HIv2___RNAseq.g25875.t1	sp	Q9CWF6	BBS2_MOUSE	67.131	718	231	4	1	713	1	718	0.0	1015
Pocillopora_acuta_HIv2___TS.g20659.t1	sp	Q9GZQ4	NMUR2_HUMAN	27.707	314	190	6	100	399	58	348	1.92e-24	108
Pocillopora_acuta_HIv2___RNAseq.g13570.t1	sp	Q9ESK8	KCMB4_RAT	26.667	135	83	5	83	210	80	205	2.18e-09	58.9
Pocillopora_acuta_HIv2___RNAseq.g12815.t1	sp	Q8TEQ8	PIGO_HUMAN	32.896	1143	669	21	6	1114	5	1083	3.48e-179	557
Pocillopora_acuta_HIv2___RNAseq.g7647.t1	sp	Q9BYK8	HELZ2_HUMAN	29.888	1606	981	45	419	1968	1365	2881	8.02e-177	602
Pocillopora_acuta_HIv2___RNAseq.g14272.t1	sp	Q9LIQ6	ING1_ARATH	46.154	52	27	1	204	255	174	224	9.91e-09	57.8
Pocillopora_acuta_HIv2___RNAseq.g24161.t1	sp	A0A2B4SJA1	STNG2_STYPI	89.394	66	7	0	1	66	299	364	4.63e-36	127
Pocillopora_acuta_HIv2___TS.g22235.t1	sp	Q13443	ADAM9_HUMAN	36.932	176	99	7	375	547	506	672	3.15e-21	102
Pocillopora_acuta_HIv2___RNAseq.g9812.t1	sp	Q96IZ5	RBM41_HUMAN	34.097	393	226	7	60	424	19	406	8.93e-64	213
Pocillopora_acuta_HIv2___RNAseq.g11209.t1	sp	Q29496	CP3AO_SHEEP	37.305	512	282	16	10	502	6	497	3.18e-107	331
Pocillopora_acuta_HIv2___TS.g10300.t1	sp	Q0P5L5	SUMF1_BOVIN	62.270	326	115	2	51	371	49	371	2.75e-154	442
Pocillopora_acuta_HIv2___RNAseq.g12456.t1	sp	P20825	POL2_DROME	35.437	206	98	6	1	175	195	396	4.82e-30	118
Pocillopora_acuta_HIv2___RNAseq.g17018.t1	sp	P0CI65	NPHP3_DANRE	30.380	395	250	2	936	1330	920	1289	1.58e-40	167
Pocillopora_acuta_HIv2___RNAseq.g19553.t1	sp	Q3ZC91	ASM3A_BOVIN	26.518	494	299	19	24	502	2	446	7.76e-37	144
Pocillopora_acuta_HIv2___RNAseq.g26734.t1	sp	Q6MG82	PRRT1_RAT	38.667	75	46	0	101	175	220	294	7.97e-15	73.9
Pocillopora_acuta_HIv2___RNAseq.g25600.t1	sp	A7SAZ1	U669_NEMVE	61.379	145	50	2	18	156	21	165	1.69e-60	187
Pocillopora_acuta_HIv2___RNAseq.g7133.t1	sp	A0A7J6K144	CRMPA_TOXGO	28.879	232	131	9	28	236	1550	1770	7.89e-08	57.8
Pocillopora_acuta_HIv2___RNAseq.g22885.t1	sp	P29773	ETS2_LYTVA	63.158	95	34	1	287	381	2	95	1.97e-36	132
Pocillopora_acuta_HIv2___RNAseq.g1824.t1	sp	Q08830	FGL1_HUMAN	34.375	160	85	7	170	310	147	305	5.32e-18	85.9
Pocillopora_acuta_HIv2___RNAseq.g24956.t1	sp	Q28DL4	TRAF6_XENTR	41.071	112	60	2	14	125	57	162	2.59e-20	89.0
Pocillopora_acuta_HIv2___RNAseq.g9023.t1	sp	P50481	LHX3_MOUSE	48.485	99	45	2	28	125	161	254	2.05e-17	84.3
Pocillopora_acuta_HIv2___RNAseq.g2823.t1	sp	E9Q236	MRP4_MOUSE	28.571	371	238	6	399	753	619	978	2.16e-44	177
Pocillopora_acuta_HIv2___RNAseq.g15699.t1	sp	P54357	MLC2_DROME	43.836	146	81	1	1	145	1	146	2.64e-35	122
Pocillopora_acuta_HIv2___RNAseq.g876.t1	sp	Q28G87	LARP7_XENTR	49.080	163	82	1	17	178	27	189	6.56e-51	187
Pocillopora_acuta_HIv2___RNAseq.g20269.t1	sp	Q6V0I7	FAT4_HUMAN	37.349	166	104	0	27	192	3063	3228	1.40e-22	100
Pocillopora_acuta_HIv2___TS.g26831.t1b	sp	P51570	GALK1_HUMAN	59.763	338	134	2	3	339	56	392	7.43e-146	420
Pocillopora_acuta_HIv2___TS.g26831.t1a	sp	O95639	CPSF4_HUMAN	62.082	269	93	3	1	266	1	263	1.20e-118	343
Pocillopora_acuta_HIv2___RNAseq.g8079.t1	sp	Q9P2E3	ZNFX1_HUMAN	39.760	835	395	23	946	1771	823	1558	9.74e-146	507
Pocillopora_acuta_HIv2___RNAseq.g3332.t1a	sp	Q9UKA2	FBXL4_HUMAN	43.664	584	313	6	1	578	47	620	2.74e-156	464
Pocillopora_acuta_HIv2___RNAseq.g10995.t1	sp	P00993	IBP_CARCR	47.222	72	38	0	27	98	3	74	3.89e-17	81.3
Pocillopora_acuta_HIv2___RNAseq.g16661.t1	sp	Q8TDN4	CABL1_HUMAN	37.105	380	195	9	80	440	271	625	6.38e-65	226
Pocillopora_acuta_HIv2___TS.g3331.t1	sp	Q13443	ADAM9_HUMAN	26.705	352	172	14	9	283	330	672	8.14e-19	96.3
Pocillopora_acuta_HIv2___RNAseq.g29251.t1	sp	P10499	KCNA1_RAT	44.909	383	184	4	11	366	30	412	2.86e-111	337
Pocillopora_acuta_HIv2___RNAseq.g24866.t1	sp	P61458	PHS_MOUSE	70.707	99	29	0	5	103	2	100	1.80e-48	152
Pocillopora_acuta_HIv2___TS.g1932.t1	sp	O70244	CUBN_RAT	39.167	120	62	5	27	145	931	1040	1.16e-11	71.2
Pocillopora_acuta_HIv2___RNAseq.g24954.t1	sp	Q61382	TRAF4_MOUSE	36.054	147	85	3	10	147	323	469	3.87e-25	102
Pocillopora_acuta_HIv2___TS.g24662.t1	sp	P97686	NRCAM_RAT	37.681	69	40	2	13	78	278	346	4.41e-08	52.8
Pocillopora_acuta_HIv2___RNAseq.g17273.t1	sp	Q7Z2K6	ERMP1_HUMAN	52.336	107	51	0	1	107	342	448	2.75e-28	110
Pocillopora_acuta_HIv2___RNAseq.g13665.t1	sp	Q5RI15	COX20_HUMAN	46.377	69	35	1	22	88	24	92	1.48e-14	67.4
Pocillopora_acuta_HIv2___TS.g17100.t1	sp	Q92667	AKAP1_HUMAN	36.436	376	203	11	118	488	554	898	1.83e-60	216
Pocillopora_acuta_HIv2___RNAseq.g3607.t1	sp	Q7T2C4	S26A5_DANRE	35.946	740	424	8	18	730	18	734	8.94e-143	439
Pocillopora_acuta_HIv2___RNAseq.g30846.t1	sp	Q6AY20	MPRD_RAT	33.333	267	159	7	22	277	20	278	3.10e-48	164
Pocillopora_acuta_HIv2___TS.g26977.t1	sp	Q9W6H5	UBC9A_DANRE	53.642	151	70	0	15	165	6	156	1.60e-55	187
Pocillopora_acuta_HIv2___RNAseq.g20511.t1	sp	K0E4E1	ECDE_ASPRU	38.889	90	55	0	186	275	367	456	2.30e-11	70.5
Pocillopora_acuta_HIv2___RNAseq.g27080.t1b	sp	P16260	GDC_HUMAN	50.171	293	142	2	22	310	37	329	2.03e-95	288
Pocillopora_acuta_HIv2___RNAseq.g27080.t1a	sp	P04146	COPIA_DROME	23.339	557	341	21	20	536	11	521	4.02e-16	85.9
Pocillopora_acuta_HIv2___RNAseq.g3028.t1	sp	Q9XWB9	BAT36_CAEEL	27.273	176	116	6	15	186	152	319	4.21e-13	72.0
Pocillopora_acuta_HIv2___RNAseq.g24864.t1	sp	Q09575	YRD6_CAEEL	26.115	314	203	8	169	469	860	1157	6.74e-21	100
Pocillopora_acuta_HIv2___RNAseq.g18444.t1a	sp	Q8BIG7	CMTD1_MOUSE	41.036	251	131	5	13	260	26	262	1.05e-54	180
Pocillopora_acuta_HIv2___RNAseq.g18444.t1b	sp	Q01133	FMRA_CALPA	58.214	280	72	13	16	287	1	243	4.25e-78	244
Pocillopora_acuta_HIv2___RNAseq.g8249.t1	sp	Q95SX7	RTBS_DROME	29.442	197	135	2	1	193	402	598	5.40e-10	61.6
Pocillopora_acuta_HIv2___RNAseq.g16254.t1	sp	Q3KP44	ANR55_HUMAN	31.475	305	182	9	108	407	22	304	4.01e-26	118
Pocillopora_acuta_HIv2___RNAseq.g3605.t1	sp	Q9Z1J2	NEK4_MOUSE	55.118	381	162	6	1	376	1	377	7.76e-137	426
Pocillopora_acuta_HIv2___RNAseq.g16914.t1	sp	Q9ULC3	RAB23_HUMAN	66.255	243	73	3	1	241	1	236	3.88e-111	322
Pocillopora_acuta_HIv2___RNAseq.g29920.t1	sp	Q9Y673	ALG5_HUMAN	62.207	299	110	2	34	332	26	321	6.24e-140	402
Pocillopora_acuta_HIv2___RNAseq.g15083.t1	sp	P52564	MP2K6_HUMAN	60.360	333	127	4	57	389	5	332	3.27e-141	408
Pocillopora_acuta_HIv2___RNAseq.g11504.t1	sp	Q641A1	GLD2A_XENLA	36.137	321	194	6	15	329	182	497	1.28e-58	199
Pocillopora_acuta_HIv2___RNAseq.g12665.t1	sp	Q08CY9	EOGT_XENTR	52.596	443	201	7	189	630	76	510	1.17e-159	471
Pocillopora_acuta_HIv2___RNAseq.g29922.t1	sp	Q1JQA2	SMAD1_BOVIN	64.270	459	126	8	1	426	3	456	0.0	568
Pocillopora_acuta_HIv2___RNAseq.g12514.t1	sp	O94910	AGRL1_HUMAN	23.665	693	418	26	440	1077	482	1118	4.83e-40	166
Pocillopora_acuta_HIv2___RNAseq.g9973.t1	sp	Q8N806	UBR7_HUMAN	45.585	419	201	4	26	444	33	424	6.05e-122	364
Pocillopora_acuta_HIv2___RNAseq.g15887.t1	sp	Q9CUS9	SPPL3_MOUSE	59.948	387	140	5	4	380	3	384	9.12e-162	461
Pocillopora_acuta_HIv2___RNAseq.g15742.t1	sp	Q8R100	CAHM5_MOUSE	28.514	249	162	6	11	247	10	254	9.86e-22	97.1
Pocillopora_acuta_HIv2___RNAseq.g19845.t1	sp	A2RRS8	CEP78_XENTR	38.356	584	284	11	3	564	1	530	4.60e-128	395
Pocillopora_acuta_HIv2___RNAseq.g12179.t1	sp	O64517	MCA4_ARATH	31.210	157	81	6	6	152	5	144	3.94e-06	53.9
Pocillopora_acuta_HIv2___RNAseq.g24399.t1	sp	Q5QD25	TAAR2_RAT	24.047	341	219	9	2	310	7	339	2.09e-09	61.6
Pocillopora_acuta_HIv2___RNAseq.g14509.t1	sp	Q96DM1	PGBD4_HUMAN	30.569	422	266	8	68	476	87	494	1.80e-56	201
Pocillopora_acuta_HIv2___TS.g17847.t1	sp	Q9JKK8	ATR_MOUSE	60.606	33	13	0	49	81	2603	2635	1.54e-09	55.8
Pocillopora_acuta_HIv2___RNAseq.g20534.t1	sp	A7SPE8	BL1S5_NEMVE	53.020	149	68	1	1	147	1	149	3.00e-43	143
Pocillopora_acuta_HIv2___TS.g13882.t1c	sp	Q20191	NAS13_CAEEL	40.000	60	34	2	83	141	392	450	5.79e-07	54.7
Pocillopora_acuta_HIv2___RNAseq.g5842.t1	sp	P05205	HP1_DROME	44.231	52	28	1	15	65	28	79	9.31e-08	49.7
Pocillopora_acuta_HIv2___TS.g27574.t1	sp	Q9I3S3	GBUA_PSEAE	67.398	319	101	2	70	385	1	319	1.69e-160	456
Pocillopora_acuta_HIv2___TS.g9024.t1	sp	Q9VPH8	RBBP5_DROME	61.364	44	17	0	20	63	174	217	6.56e-11	59.3
