species,t_hours,treatment,day,time,type,Tank,fragment_name,Plug #,Notes,Extraction_Date,Extraction_Notes,RNA_Extraction_Status,DNA_QBIT_1,DNA_QBIT_2,DNA_QBIT_AVG,RNA_QBIT_1,RNA_QBIT_2,RNA_QBIT_AVG,Vol_in_tube,ng_RNA_total,Lab_Notebook_Link
MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_3,MON_R0_H2,2017,,,,,,,,,,,,,
MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_5,MON_R0_H3,1493,,,,,,,,,,,,,
MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_2,MON_R0_H1,1743,,,,,,,,,,,,,
MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_6,MON_R0_C3,1291,,,,,,,,,,,,,
MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_1,MON_R0_C1,2732,,,,,,,,,,,,,
MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_4,MON_R0_C2,1708,,,,,,,,,,,,,
MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_6,MON_R1_C3,2419,,,,,,,,,,,,,
MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_5,MON_R1_H3,2515,,,,,,,,,,,,,
MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_1,MON_R1_C1,1608,,,,,,,,,,,,,
MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_3,MON_R1_H2,1452,,,,,,,,,,,,,
MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_4,MON_R1_C2,2007,,,,,,,,,,,,,
MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_2,MON_R1_H1,1074,,,,,,,,,,,,,
MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_2,MON_R3_H1,1617,,,,,,,,,,,,,
MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_4,MON_R3_C2,1741,,,,,,,,,,,,,
MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_5,MON_R3_H3,1416,,,,,,,,,,,,,
MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_6,MON_R3_C3,1467,,,,,,,,,,,,,
MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_3,MON_R3_H2,2063,,,,,,,,,,,,,
MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_1,MON_R3_C1,1767,,,,,,,,,,,,,
MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_1,MON_R12_C1,1728,,,,,,,,,,,,,
MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_5,MON_R12_H3,1409,,,,,,,,,,,,,
MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_2,MON_R12_H1,1105,,,,,,,,,,,,,
MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_4,MON_R12_C2,1774,,,,,,,,,,,,,
MON,12,control,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_6,MON_R12_C3,1238,,,,,,,,,,,,,
MON,12,heat,"Wed, Jul 2",9:00 PM,bulk_rna,Tank_3,MON_R12_H2,1226,,,,,,,,,,,,,
MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_4,MON_R24_C2,1706,,,,,,,,,,,,,
MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_3,MON_R24_H2,1652,,,,,,,,,,,,,
MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_5,MON_R24_H3,2860,,,,,,,,,,,,,
MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_6,MON_R24_C3,1214,,,,,,,,,,,,,
MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_1,MON_R24_C1,2667,,,,,,,,,,,,,
MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_2,MON_R24_H1,2529,,,,,,,,,,,,,
MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_4,MON_R72_C2,1646,,,,,,,,,,,,,
