gi|119433677|ref|NP_000074.2|	Montipora_capitata_HIv3___RNAseq.g30055.t1	46.818	660	306	10	219	872	3	623	0.0	578
gi|155969705|ref|NP_000076.2|	Montipora_capitata_HIv3___RNAseq.g30055.t1	42.825	446	245	3	156	599	6	443	2.13e-121	377
gi|4557535|ref|NP_000102.1|	Montipora_capitata_HIv3___RNAseq.g24161.t1	30.634	741	455	9	11	730	15	717	1.15e-110	353
gi|32479527|ref|NP_000209.2|	Montipora_capitata_HIv3___TS.g32320.t3	37.838	592	295	13	107	653	89	652	4.40e-101	328
gi|4504837|ref|NP_000211.1|	Montipora_capitata_HIv3___RNAseq.g7260.t1	42.693	349	178	7	25	362	108	445	8.68e-78	248
gi|4557729|ref|NP_000229.1|	Montipora_capitata_HIv3___TS.g40948.t2	49.136	810	327	17	289	1068	318	1072	0.0	678
gi|4505835|ref|NP_000288.1|	Montipora_capitata_HIv3___RNAseq.g26442.t1	52.050	805	345	10	173	954	144	930	0.0	847
gi|4505697|ref|NP_000432.1|	Montipora_capitata_HIv3___RNAseq.g24161.t1	33.381	701	420	8	37	727	42	705	5.83e-127	396
gi|90421313|ref|NP_000483.3|	Montipora_capitata_HIv3___RNAseq.g37001.t1	25.368	1494	913	26	5	1437	126	1478	1.14e-157	517
gi|4502271|ref|NP_000693.1|	Montipora_capitata_HIv3___TS.g7051.t3	76.423	984	230	2	39	1020	71	1054	0.0	1548
gi|154091314|ref|NP_001007472.2|	Montipora_capitata_HIv3___TS.g41022.t1	33.386	1255	688	30	56	1237	74	1253	0.0	647
gi|205360954|ref|NP_001009944.2|	Montipora_capitata_HIv3___RNAseq.g425.t1	22.010	3553	2282	116	890	4156	487	3836	1.06e-144	511
gi|61744477|ref|NP_001012680.1|	Montipora_capitata_HIv3___RNAseq.g47385.t1	24.536	485	242	17	210	572	36	518	1.33e-26	115
gi|62912487|ref|NP_001017424.1|	Montipora_capitata_HIv3___RNAseq.g15274.t1b	37.247	247	148	3	52	292	4	249	9.10e-51	174
gi|122937502|ref|NP_001074001.1|	Montipora_capitata_HIv3___RNAseq.g41186.t1	38.646	458	224	9	296	745	7	415	1.05e-85	291
gi|157426860|ref|NP_001098718.1|	Montipora_capitata_HIv3___RNAseq.g6998.t2	33.494	624	364	18	365	956	191	795	5.80e-79	275
gi|187608791|ref|NP_001120670.1|	Montipora_capitata_HIv3___RNAseq.g6998.t2	32.192	730	404	22	84	772	115	794	1.20e-76	265
gi|194733735|ref|NP_001124170.1|	Montipora_capitata_HIv3___RNAseq.g18474.t1	29.178	730	396	21	173	891	88	707	6.28e-96	319
gi|205360971|ref|NP_001128577.1|	Montipora_capitata_HIv3___RNAseq.g15274.t1b	36.449	214	131	1	13	221	11	224	2.20e-44	155
gi|209863026|ref|NP_001129427.1|	Montipora_capitata_HIv3___RNAseq.g18474.t1	31.929	736	397	20	73	785	93	747	1.08e-98	325
gi|219689113|ref|NP_001137291.1|	Montipora_capitata_HIv3___RNAseq.g8922.t1	47.186	693	321	11	204	886	136	793	0.0	565
gi|537544630|ref|NP_001138775.2|	Montipora_capitata_HIv3___RNAseq.g6874.t1b	25.457	656	446	12	77	708	80	716	2.04e-67	236
gi|237681109|ref|NP_001153705.1|	Montipora_capitata_HIv3___TS.g7051.t3	77.541	984	220	1	41	1023	71	1054	0.0	1573
gi|269954694|ref|NP_001161744.1|	Montipora_capitata_HIv3___RNAseq.g26689.t1	60.016	2456	785	32	4	2355	3	2365	0.0	2823
gi|190343023|ref|NP_001162.4|	Montipora_capitata_HIv3___RNAseq.g37001.t1	40.535	1384	745	14	192	1502	109	1487	0.0	1018
gi|281182842|ref|NP_001162589.1|	Montipora_capitata_HIv3___RNAseq.g24342.t1	36.458	480	271	6	61	519	34	500	8.46e-102	327
gi|294459965|ref|NP_001170899.1|	Montipora_capitata_HIv3___RNAseq.45091_t	25.979	562	332	17	228	765	216	717	9.64e-43	167
gi|296010811|ref|NP_001171536.1|	Montipora_capitata_HIv3___RNAseq.g202.t1a	32.139	893	557	16	22	895	32	894	1.26e-155	487
gi|17136148|ref|NP_001174.2|	Montipora_capitata_HIv3___RNAseq.g26437.t1	29.254	335	183	15	19	329	3	307	1.87e-19	89.4
gi|353411934|ref|NP_001238774.1|	Montipora_capitata_HIv3___RNAseq.g18474.t1	27.786	691	423	17	103	779	83	711	1.82e-74	258
gi|354721145|ref|NP_001238949.1|	Montipora_capitata_HIv3___TS.g41022.t1	31.563	1318	693	40	6	1240	62	1253	1.77e-171	561
gi|371940938|ref|NP_001243142.1|	Montipora_capitata_HIv3___TS.g7051.t3	77.676	981	218	1	45	1024	74	1054	0.0	1573
gi|378404897|ref|NP_001243725.1|	Montipora_capitata_HIv3___RNAseq.g9399.t1	49.880	415	167	10	1	395	1	394	5.57e-126	371
gi|384551638|ref|NP_001245134.1|	Montipora_capitata_HIv3___RNAseq.45091_t	29.356	528	302	18	207	705	160	645	1.07e-50	190
gi|425854833|ref|NP_001258747.1|	Montipora_capitata_HIv3___RNAseq.g10444.t1	49.057	212	85	5	40	246	4	197	2.77e-64	200
gi|485836756|ref|NP_001264890.1|	Montipora_capitata_HIv3___RNAseq.g24342.t1	48.477	394	198	4	58	449	35	425	1.37e-122	383
gi|531990826|ref|NP_001269093.1|	Montipora_capitata_HIv3___RNAseq.g9527.t1	30.602	415	205	13	10	355	2	402	2.71e-49	171
gi|542133161|ref|NP_001269463.1|	Montipora_capitata_HIv3___RNAseq.g37382.t1	51.163	258	121	4	1	254	1	257	2.39e-81	251
gi|663429577|ref|NP_001287661.1|	Montipora_capitata_HIv3___RNAseq.g6874.t1b	32.211	683	422	15	41	702	36	698	6.81e-108	346
gi|115511049|ref|NP_002058.2|	Montipora_capitata_HIv3___RNAseq.g20144.t1	81.303	353	66	0	7	359	1	353	0.0	600
gi|34419635|ref|NP_002146.2|	Montipora_capitata_HIv3___RNAseq.g43337.t1	71.017	659	171	3	1	643	1	655	0.0	989
gi|153945846|ref|NP_002215.2|	Montipora_capitata_HIv3___RNAseq.g26689.t1	52.814	2452	908	35	1	2290	1	2365	0.0	2407
gi|88758565|ref|NP_002223.3|	Montipora_capitata_HIv3___TS.g26537.t3	53.669	477	173	6	36	498	47	489	5.91e-165	482
gi|4504817|ref|NP_002224.1|	Montipora_capitata_HIv3___TS.g26537.t3	61.481	405	116	5	176	578	123	489	6.62e-164	482
gi|25952087|ref|NP_002225.2|	Montipora_capitata_HIv3___TS.g26537.t3	58.738	412	118	4	120	529	123	484	5.17e-158	466
gi|25121966|ref|NP_002232.2|	Montipora_capitata_HIv3___RNAseq.g45428.t1	39.420	345	194	5	26	362	33	370	2.02e-72	231
gi|156119627|ref|NP_002233.2|	Montipora_capitata_HIv3___RNAseq.g45428.t1	31.831	355	213	8	16	355	33	373	1.15e-46	164
gi|4504847|ref|NP_002236.1|	Montipora_capitata_HIv3___RNAseq.g15274.t1b	40.506	237	133	4	26	256	15	249	1.67e-55	184
