task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,phys,Tank_5,POC_P0_H3,LN2,2405,Yes,Time: 9:22
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_5,POC_R0_H3,DNA/RNA shield,1290,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,LCM,Tank_5,POC_R0_H3,PAXgene,1290,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,FFPE,Tank_5,POC_S0_H3,Formalin,1455,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,phys,Tank_2,POC_P0_H1,LN2,1621,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_2,POC_R0_H1,DNA/RNA shield,2060,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,LCM,Tank_2,POC_R0_H1,PAXgene,2060,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,FFPE,Tank_2,POC_S0_H1,Formalin,2079,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,phys,Tank_3,POC_P0_H2,LN2,1066,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_3,POC_R0_H2,DNA/RNA shield,1533,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,LCM,Tank_3,POC_R0_H2,PAXgene,1533,Yes,
sampling,POC,0,heat,"Wed, Jul 9",9:00 AM,FFPE,Tank_3,POC_S0_H2,Formalin,1219,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,phys,Tank_6,POC_P0_C3,LN2,1771,Yes,Time: 9:37
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_6,POC_R0_C3,DNA/RNA shield,1439,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,LCM,Tank_6,POC_R0_C3,PAXgene,1439,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,FFPE,Tank_6,POC_S0_C3,Formalin,1337,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,phys,Tank_4,POC_P0_C2,LN2,2404,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_4,POC_R0_C2,DNA/RNA shield,1315,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,LCM,Tank_4,POC_R0_C2,PAXgene,1315,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,FFPE,Tank_4,POC_S0_C2,Formalin,1065,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,phys,Tank_1,POC_P0_C1,LN2,1495,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_1,POC_R0_C1,DNA/RNA shield,1537,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,LCM,Tank_1,POC_R0_C1,PAXgene,1537,Yes,
sampling,POC,0,control,"Wed, Jul 9",9:00 AM,FFPE,Tank_1,POC_S0_C1,Formalin,1254,Yes,Time: 9:42
