"Plot Title: 10655120"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10655120, SEN S/N: 10655120)","Intensity, Lux (LGR S/N: 10655120, SEN S/N: 10655120)","Coupler Detached (LGR S/N: 10655120)","Host Connected (LGR S/N: 10655120)","Coupler Attached (LGR S/N: 10655120)","Stopped (LGR S/N: 10655120)","End Of File (LGR S/N: 10655120)"
1,06/24/25 02:51:43 PM,20.424,0.0,,,,,
2,06/24/25 02:51:48 PM,,,Logged,,,,
3,06/24/25 02:56:43 PM,20.519,0.0,,,,,
4,06/24/25 03:01:43 PM,20.519,0.0,,,,,
5,06/24/25 03:06:43 PM,20.519,0.0,,,,,
6,06/24/25 03:11:43 PM,20.519,0.0,,,,,
7,06/24/25 03:16:43 PM,20.519,0.0,,,,,
8,06/24/25 03:21:43 PM,20.424,0.0,,,,,
9,06/24/25 03:26:43 PM,20.424,0.0,,,,,
10,06/24/25 03:31:43 PM,20.424,0.0,,,,,
11,06/24/25 03:36:43 PM,20.424,0.0,,,,,
12,06/24/25 03:41:43 PM,20.424,0.0,,,,,
13,06/24/25 03:46:43 PM,20.329,0.0,,,,,
14,06/24/25 03:51:43 PM,20.424,0.0,,,,,
15,06/24/25 03:56:43 PM,20.329,0.0,,,,,
16,06/24/25 04:01:43 PM,20.329,0.0,,,,,
17,06/24/25 04:06:43 PM,20.329,0.0,,,,,
18,06/24/25 04:11:43 PM,20.329,0.0,,,,,
19,06/24/25 04:16:43 PM,20.329,0.0,,,,,
20,06/24/25 04:21:43 PM,20.329,0.0,,,,,
21,06/24/25 04:26:43 PM,20.329,0.0,,,,,
22,06/24/25 04:31:43 PM,20.329,0.0,,,,,
23,06/24/25 04:36:43 PM,20.329,0.0,,,,,
24,06/24/25 04:41:43 PM,20.901,129.2,,,,,
25,06/24/25 04:46:43 PM,21.282,129.2,,,,,
26,06/24/25 04:51:43 PM,21.473,150.7,,,,,
27,06/24/25 04:56:43 PM,24.641,710.4,,,,,
28,06/24/25 05:01:43 PM,25.125,699.7,,,,,
29,06/24/25 05:06:43 PM,25.125,688.9,,,,,
30,06/24/25 05:11:43 PM,25.222,592.0,,,,,
31,06/24/25 05:16:43 PM,25.222,656.6,,,,,
32,06/24/25 05:21:43 PM,25.222,645.8,,,,,
33,06/24/25 05:26:43 PM,25.222,602.8,,,,,
34,06/24/25 05:31:43 PM,25.222,581.3,,,,,
35,06/24/25 05:36:43 PM,25.125,581.3,,,,,
36,06/24/25 05:41:43 PM,25.125,473.6,,,,,
37,06/24/25 05:46:43 PM,25.125,516.7,,,,,
38,06/24/25 05:51:43 PM,25.222,505.9,,,,,
39,06/24/25 05:56:43 PM,25.610,387.5,,,,,
40,06/24/25 06:01:43 PM,25.708,419.8,,,,,
41,06/24/25 06:06:43 PM,25.708,409.0,,,,,
42,06/24/25 06:11:43 PM,25.708,344.4,,,,,
43,06/24/25 06:16:43 PM,25.708,344.4,,,,,
44,06/24/25 06:21:43 PM,25.610,226.0,,,,,
45,06/24/25 06:26:43 PM,25.610,290.6,,,,,
46,06/24/25 06:31:43 PM,25.610,226.0,,,,,
47,06/24/25 06:36:43 PM,25.610,193.8,,,,,
48,06/24/25 06:41:43 PM,25.513,269.1,,,,,
49,06/24/25 06:46:43 PM,25.513,129.2,,,,,
50,06/24/25 06:51:43 PM,25.513,183.0,,,,,
51,06/24/25 06:56:43 PM,25.416,43.1,,,,,
52,06/24/25 07:01:43 PM,25.416,43.1,,,,,
53,06/24/25 07:06:43 PM,25.416,139.9,,,,,
54,06/24/25 07:11:43 PM,25.513,96.9,,,,,
55,06/24/25 07:16:43 PM,25.610,215.3,,,,,
56,06/24/25 07:21:43 PM,25.513,139.9,,,,,
57,06/24/25 07:26:43 PM,25.513,107.6,,,,,
58,06/24/25 07:31:43 PM,25.513,75.3,,,,,
59,06/24/25 07:36:43 PM,25.513,64.6,,,,,
60,06/24/25 07:41:43 PM,25.416,21.5,,,,,
61,06/24/25 07:46:43 PM,25.416,0.0,,,,,
62,06/24/25 07:51:43 PM,25.319,0.0,,,,,
63,06/24/25 07:56:43 PM,25.513,0.0,,,,,
64,06/24/25 08:01:43 PM,25.610,0.0,,,,,
65,06/24/25 08:06:43 PM,25.513,0.0,,,,,
66,06/24/25 08:11:43 PM,25.513,0.0,,,,,
67,06/24/25 08:16:43 PM,25.513,0.0,,,,,
68,06/24/25 08:21:43 PM,25.416,0.0,,,,,
69,06/24/25 08:26:43 PM,25.416,0.0,,,,,
70,06/24/25 08:31:43 PM,25.416,0.0,,,,,
71,06/24/25 08:36:43 PM,25.416,0.0,,,,,
72,06/24/25 08:41:43 PM,25.513,0.0,,,,,
73,06/24/25 08:46:43 PM,25.513,0.0,,,,,
74,06/24/25 08:51:43 PM,25.513,0.0,,,,,
75,06/24/25 08:56:43 PM,25.513,0.0,,,,,
76,06/24/25 09:01:43 PM,25.416,0.0,,,,,
77,06/24/25 09:06:43 PM,25.416,0.0,,,,,
78,06/24/25 09:11:43 PM,25.416,0.0,,,,,
79,06/24/25 09:16:43 PM,25.513,0.0,,,,,
80,06/24/25 09:21:43 PM,25.610,0.0,,,,,
81,06/24/25 09:26:43 PM,25.610,0.0,,,,,
82,06/24/25 09:31:43 PM,25.513,0.0,,,,,
83,06/24/25 09:36:43 PM,25.513,0.0,,,,,
84,06/24/25 09:41:43 PM,25.513,0.0,,,,,
85,06/24/25 09:46:43 PM,25.416,0.0,,,,,
86,06/24/25 09:51:43 PM,25.416,0.0,,,,,
87,06/24/25 09:56:43 PM,25.416,0.0,,,,,
88,06/24/25 10:01:43 PM,25.513,0.0,,,,,
89,06/24/25 10:06:43 PM,25.610,0.0,,,,,
90,06/24/25 10:11:43 PM,25.513,0.0,,,,,
91,06/24/25 10:16:43 PM,25.513,0.0,,,,,
92,06/24/25 10:21:43 PM,25.513,0.0,,,,,
93,06/24/25 10:26:43 PM,25.416,0.0,,,,,
94,06/24/25 10:31:43 PM,25.416,0.0,,,,,
95,06/24/25 10:36:43 PM,25.416,0.0,,,,,
96,06/24/25 10:41:43 PM,25.513,0.0,,,,,
97,06/24/25 10:46:43 PM,25.610,0.0,,,,,
98,06/24/25 10:51:43 PM,25.513,0.0,,,,,
99,06/24/25 10:56:43 PM,25.513,0.0,,,,,
100,06/24/25 11:01:43 PM,25.513,0.0,,,,,
101,06/24/25 11:06:43 PM,25.416,0.0,,,,,
102,06/24/25 11:11:43 PM,25.416,0.0,,,,,
103,06/24/25 11:16:43 PM,25.416,0.0,,,,,
104,06/24/25 11:21:43 PM,25.416,0.0,,,,,
105,06/24/25 11:26:43 PM,25.610,0.0,,,,,
106,06/24/25 11:31:43 PM,25.610,0.0,,,,,
107,06/24/25 11:36:43 PM,25.513,0.0,,,,,
108,06/24/25 11:41:43 PM,25.513,0.0,,,,,
109,06/24/25 11:46:43 PM,25.513,0.0,,,,,
110,06/24/25 11:51:43 PM,25.416,0.0,,,,,
111,06/24/25 11:56:43 PM,25.416,0.0,,,,,
112,06/25/25 12:01:43 AM,25.416,0.0,,,,,
113,06/25/25 12:06:43 AM,25.610,0.0,,,,,
114,06/25/25 12:11:43 AM,25.610,0.0,,,,,
115,06/25/25 12:16:43 AM,25.513,0.0,,,,,
116,06/25/25 12:21:43 AM,25.513,0.0,,,,,
117,06/25/25 12:26:43 AM,25.416,0.0,,,,,
118,06/25/25 12:31:43 AM,25.416,0.0,,,,,
119,06/25/25 12:36:43 AM,25.319,0.0,,,,,
120,06/25/25 12:41:43 AM,25.513,0.0,,,,,
121,06/25/25 12:46:43 AM,25.513,0.0,,,,,
122,06/25/25 12:51:43 AM,25.513,0.0,,,,,
123,06/25/25 12:56:43 AM,25.513,0.0,,,,,
124,06/25/25 01:01:43 AM,25.416,0.0,,,,,
125,06/25/25 01:06:43 AM,25.416,0.0,,,,,
126,06/25/25 01:11:43 AM,25.416,0.0,,,,,
127,06/25/25 01:16:43 AM,25.610,0.0,,,,,
128,06/25/25 01:21:43 AM,25.610,0.0,,,,,
129,06/25/25 01:26:43 AM,25.513,0.0,,,,,
130,06/25/25 01:31:43 AM,25.513,0.0,,,,,
131,06/25/25 01:36:43 AM,25.416,0.0,,,,,
132,06/25/25 01:41:43 AM,25.416,0.0,,,,,
133,06/25/25 01:46:43 AM,25.319,0.0,,,,,
134,06/25/25 01:51:43 AM,25.513,0.0,,,,,
135,06/25/25 01:56:43 AM,25.610,0.0,,,,,
136,06/25/25 02:01:43 AM,25.513,0.0,,,,,
137,06/25/25 02:06:43 AM,25.513,0.0,,,,,
138,06/25/25 02:11:43 AM,25.513,0.0,,,,,
139,06/25/25 02:16:43 AM,25.416,0.0,,,,,
140,06/25/25 02:21:43 AM,25.416,0.0,,,,,
141,06/25/25 02:26:43 AM,25.319,0.0,,,,,
142,06/25/25 02:31:43 AM,25.513,0.0,,,,,
